team,team_code,association
Antigua and Barbuda,ATG,CONCACAF
Central African Republic,CTA,CAF
Philippines,PHI,AFC
Latvia,LVA,UEFA
Turkmenistan,TKM,AFC
Solomon Islands,SOL,OFC
Rwanda,RWA,CAF
Ethiopia,ETH,CAF
Suriname,SUR,CONCACAF
St Kitts and Nevis,SKN,CONCACAF
Burundi,BDI,CAF
Nicaragua,NCA,CONCACAF
Eswatini,SWZ,CAF
Lithuania,LTU,UEFA
Hong Kong,HKG,AFC
Malaysia,MAS,AFC
Lesotho,LES,CAF
Botswana,BOT,CAF
Kuwait,KUW,AFC
Liberia,LBR,CAF
Andorra,AND,UEFA
Indonesia,IDN,AFC
Dominican Republic,DOM,CONCACAF
Maldives,MDV,AFC
Yemen,YEM,AFC
Afghanistan,AFG,AFC
Chinese Taipei,TPE,AFC
Myanmar,MYA,AFC
Papua New Guinea,PNG,OFC
Singapore,SGP,AFC
New Caledonia,NCL,OFC
Tahiti,TAH,OFC
Fiji,FIJ,OFC
Vanuatu,VAN,OFC
South Sudan,SSD,CAF
Barbados,BRB,CONCACAF
Cuba,CUB,CONCACAF
Malta,MLT,UEFA
Bermuda,BER,CONCACAF
Puerto Rico,PUR,CONCACAF
Guyana,GUY,CONCACAF
St Lucia,LCA,CONCACAF
Grenada,GRN,CONCACAF
Moldova,MDA,UEFA
Nepal,NEP,AFC
Belize,BLZ,CONCACAF
Cambodia,CAM,AFC
St Vincent and the Grenadines,VIN,CONCACAF
Montserrat,MSR,CONCACAF
Mauritius,MRI,CAF
Chad,CHA,CAF
Macau,MAC,AFC
Mongolia,MNG,AFC
Dominica,DMA,CONCACAF
Bhutan,BHU,AFC
São Tomé and Príncipe,STP,CAF
Laos,LAO,AFC
American Samoa,ASA,OFC
Cook Islands,COK,OFC
Brunei Darussalam,BRU,AFC
Samoa,SAM,OFC
Bangladesh,BAN,AFC
Djibouti,DJI,CAF
Pakistan,PAK,AFC
Cayman Islands,CAY,CONCACAF
Liechtenstein,LIE,UEFA
Tonga,TGA,OFC
Timor-Leste,TLS,AFC
Seychelles,SEY,CAF
Eritrea,ERI,CAF
Aruba,ARU,CONCACAF
Bahamas,BAH,CONCACAF
Somalia,SOM,CAF
Gibraltar,GIB,UEFA
Guam,GUM,AFC
Turks and Caicos Islands,TCA,CONCACAF
Sri Lanka,SRI,AFC
US Virgin Islands,VIR,CONCACAF
British Virgin Islands,VGB,CONCACAF
Anguilla,AIA,CONCACAF
Yugoslavia,YUG,UEFA
San Marino,SMR,UEFA
